term	reading	frequency	kana_frequency
趣味嗜好	しゅみしこう	39464	
例を挙げる	れいをあげる	39465	244328
構うものか	かまうものか	39466	55896
マスターキー	マスターキー	39467	
キラー	キラー	39468	
レビュー	レビュー	39469	
局所的	きょくしょてき	39470	
大馬鹿者	おおばかもの	39471	302148
イタリア人	イタリアじん	39472	
留置場	りゅうちじょう	39473	229883
水玉	みずたま	39474	105213
立ち戻る	たちもどる	39475	135835
夜を徹する	よをてっする	39476	
芸がない	げいがない	39477	
レンタカー	レンタカー	39478	
紙吹雪	かみふぶき	39479	297924
架け橋	かけはし	39480	95258
質の良い	しつのよい	39481	
元首	げんしゅ	39482	235070
辰巳	たつみ	39483	74652
ゴードン	ゴードン	39484	
生活指導	せいかつしどう	39485	
はだか	はだか	39486	
言いよる	いいよる	39487	28581
ズキン	ズキン	39488	
語りあう	かたりあう	39489	198647
まっただ中	まっただなか	39490	58488
ゆうゆう	ゆうゆう	39491	
ヨロヨロ	ヨロヨロ	39492	
いかる	いかる	39493	
Ｇ	ジー	39494	30881
短かい	みじかい	39495	43300
ナオ	ナオ	39496	
えんえん	えんえん	39497	
きざむ	きざむ	39498	
サシ	サシ	39499	
いいかげんにしなさい	いいかげんにしなさい	39500	
びしり	びしり	39501	
大立ち回り	おおたちまわり	39502	
脂ぎる	あぶらぎる	39503	141746
陣頭指揮	じんとうしき	39504	
丸裸にする	まるはだかにする	39505	275349
結核	けっかく	39506	185939
歌人	かじん	39507	
早送り	はやおくり	39508	
やっかむ	やっかむ	39509	
くにく	くにく	39510	
